epoch,accuracy,loss,val_accuracy,val_loss
0,0.7480000257492065,0.70795077085495,0.8450000286102295,0.3385206162929535
1,0.8209999799728394,0.41058602929115295,0.8424999713897705,0.3541569411754608
2,0.8820000290870667,0.2906799614429474,0.7762500047683716,0.7150956988334656
3,0.8889999985694885,0.29196786880493164,0.90625,0.27271768450737
4,0.9070000052452087,0.24766479432582855,0.8949999809265137,0.3167807459831238
5,0.9169999957084656,0.21505485475063324,0.90625,0.2872702181339264
6,0.9350000023841858,0.17440181970596313,0.9087499976158142,0.3132389783859253
7,0.949999988079071,0.13926230370998383,0.9075000286102295,0.33483174443244934
8,0.9599999785423279,0.10527487844228745,0.7975000143051147,1.0194077491760254
9,0.9629999995231628,0.11422066390514374,0.9075000286102295,0.3339574337005615
